cha taehyun	song hyegyo
ini milik ibuku .	satu satunya hartaku .
satu satunya hartaku .	aku hidup demi ibuku .
aku hidup demi ibuku .	sekarang .. , ..
sekarang .. , ..	aku hidup demi dirimu .
aku hidup demi dirimu .	bagaimana kami bisa hidup bersama di tempat seperti ini ?
bagaimana kami bisa hidup bersama di tempat seperti ini ?	dengan sekali tatapan , freya akan mengetahuinya , lalu bagaimana ?
dengan sekali tatapan , freya akan mengetahuinya , lalu bagaimana ?	saat siang nanti .
saat siang nanti .	kemasi barangmu .
kemasi barangmu .	temui aku di halaman depan .
temui aku di halaman depan .	dia akan menangkap kami atau tidak .
dia akan menangkap kami atau tidak .	tapi bagaimanapun juga .. , ..
tapi bagaimanapun juga .. , ..	kami akan bebas .
kami akan bebas .	kamu mencintaiku kan ?
kamu mencintaiku kan ?	iya , aku mencintaimu .
iya , aku mencintaimu .	kuberikan hidup dan matiku padamu .
kuberikan hidup dan matiku padamu .	melawan atau mati , aku tidak akan pernah meninggalkan sisimu .
melawan atau mati , aku tidak akan pernah meninggalkan sisimu .	aku bersumpah padamu .
aku bersumpah padamu .	aku tahu kisah itu .
aku tahu kisah itu .	sang gadis pergi diam diam menemui cinta sejatinya .
sang gadis pergi diam diam menemui cinta sejatinya .	aku ingin tahu bagaimana akhirnya kali ini .
aku ingin tahu bagaimana akhirnya kali ini .	kuberikan kalian berdua segalanya .
kuberikan kalian berdua segalanya .	sebagai balasannya , kamu mengkhianatiku .
sebagai balasannya , kamu mengkhianatiku .	demi cinta .
demi cinta .	kami bertempur demi perangmu .
kami bertempur demi perangmu .	kami sudah muak .
kami sudah muak .	kumohon , ratuku , biarkan kami pergi .
kumohon , ratuku , biarkan kami pergi .	jangan memohon padaku !
jangan memohon padaku !	memohon itu lemah .
memohon itu lemah .	kamu begitu lemah .
kamu begitu lemah .	kalian mau pergi ?
kalian mau pergi ?	baiklah , pergilah temuilah dia .
baiklah , pergilah temuilah dia .	jika kalian bisa , akan kulepaskan kalian .
jika kalian bisa , akan kulepaskan kalian .	itu pasti tidak sulit .
itu pasti tidak sulit .	cinta mengalahkan segalanya .
cinta mengalahkan segalanya .	begitulah kabarnya .
begitulah kabarnya .	bawa dia pergi dari hadapanku .
bawa dia pergi dari hadapanku .	pada zaman dahulu , seorang pria dan wanita jatuh cinta
pada zaman dahulu , seorang pria dan wanita jatuh cinta	tapi cinta seperti itu tidak bertahan lama
tapi cinta seperti itu tidak bertahan lama	karena hati itu tidak bisa dipercaya
karena hati itu tidak bisa dipercaya	dan cinta .. , ..
dan cinta .. , ..	cinta tidak lebih dari sekedar dongeng belaka
cinta tidak lebih dari sekedar dongeng belaka	hari berganti tahun
hari berganti tahun	kekaisaran freya semakin berkembang
kekaisaran freya semakin berkembang	sementara kakaknya , ravenna , kalah di tangan pemburu dan puteri salju
sementara kakaknya , ravenna , kalah di tangan pemburu dan puteri salju	tapi ada kejahatan .. , ..
tapi ada kejahatan .. , ..	yang tidak bisa dimusnahkan
yang tidak bisa dimusnahkan	tujuh tahun kemudian .. , ..
tujuh tahun kemudian .. , ..	di kerajaan puteri salju
di kerajaan puteri salju	menyebar !
menyebar !	selaraskan barisan !
selaraskan barisan !	sampai jumpa lagi , cintaku .
sampai jumpa lagi , cintaku .	yang mulia .
yang mulia .	sudahlah , temanku .
sudahlah , temanku .	bagaimana kamu menemukanku ?
bagaimana kamu menemukanku ?	itu tidak mudah .
itu tidak mudah .	oh , nion .
oh , nion .	kamu sudah bersumpah .
kamu sudah bersumpah .	iya , dia .. , ..
iya , dia .. , ..	temanmu itu , dia memberiku .. , ..
temanmu itu , dia memberiku .. , ..	periuk besar .
periuk besar .	omong kosong , aku membayarnya tiga emas .
omong kosong , aku membayarnya tiga emas .	tiga ?
tiga ?	itu saja ?
itu saja ?	masing masing tiga .
masing masing tiga .	siapa kamu ?
siapa kamu ?	gryff .
gryff .	siap melayanimu .
siap melayanimu .	akuntan , pencari hadiah , penagih hutang
akuntan , pencari hadiah , penagih hutang	aku saudaranya .
aku saudaranya .	dia saudara tiriku .
dia saudara tiriku .	satu ibu .
satu ibu .	satu ibu .
satu ibu .	berjalanlah bersamaku .
berjalanlah bersamaku .	aku datang membicarakan masalah penting .
aku datang membicarakan masalah penting .	seharusnya kamu mencari orang yang lebih hebat .
seharusnya kamu mencari orang yang lebih hebat .	cerminnya hilang .
cerminnya hilang .	kami percaya sihir hitam itu mati bersama ravenna
kami percaya sihir hitam itu mati bersama ravenna	tapi kami salah
tapi kami salah	ada kejahatan dalam cermin itu yang kekuatannya semakin menguat
ada kejahatan dalam cermin itu yang kekuatannya semakin menguat	ratu puteri salju bersumpah membuang cermin itu dari kerajaannya .. , ..
ratu puteri salju bersumpah membuang cermin itu dari kerajaannya .. , ..	sebelum kegelapan itu tidak bisa dihentikan
sebelum kegelapan itu tidak bisa dihentikan	dua minggu lalu , puteri memerintahkan serombongan pasukan .. , ..
dua minggu lalu , puteri memerintahkan serombongan pasukan .. , ..	membawa cermin itu ke biara suci , tapi mereka tidak pernah kembali .
membawa cermin itu ke biara suci , tapi mereka tidak pernah kembali .	tunggu , tunggu , aku bukan orangmu .
tunggu , tunggu , aku bukan orangmu .	kamu pelacak terbaik yang kami miliki di kerajaan .
kamu pelacak terbaik yang kami miliki di kerajaan .	seperti katamu , cermin itu jahat .. , ..
seperti katamu , cermin itu jahat .. , ..	cermin itu tidak boleh jatuh ke tangan orang salah .
cermin itu tidak boleh jatuh ke tangan orang salah .	puteri salju mengira aku orang yang pantas menemukannya ?
puteri salju mengira aku orang yang pantas menemukannya ?	dia memerintahkanmu menemukannya .
dia memerintahkanmu menemukannya .	dan membawanya ke biara suci di mana kejahatannya bisa selamanya dikurung .
dan membawanya ke biara suci di mana kejahatannya bisa selamanya dikurung .	kamu menerimanya atau tidak ?
kamu menerimanya atau tidak ?	iya , iya , iya , dia menerimanya .
iya , iya , iya , dia menerimanya .	asalkan ada hadiahnya .
asalkan ada hadiahnya .	aku tidak mau hadiah .
aku tidak mau hadiah .	eric .
eric .	puteri saljut sakit .
puteri saljut sakit .	cermin itu .. , ..
cermin itu .. , ..	dia bilang , dia tidak bisa berhenti melihat ke dalam cermin itu .
dia bilang , dia tidak bisa berhenti melihat ke dalam cermin itu .	dia bisa mendengar suara cermin itu memanggilnya .
dia bisa mendengar suara cermin itu memanggilnya .	itu sebabnya dia membuang cermin itu .
itu sebabnya dia membuang cermin itu .	makhluk apa itu ?
makhluk apa itu ?	kerahkan semua pasukanmu ke perbatasan utara .
kerahkan semua pasukanmu ke perbatasan utara .	mengapa ?
mengapa ?	apa yang kamu tahu ?
apa yang kamu tahu ?	freya , ratu dari utara .
freya , ratu dari utara .	burung hantu itu mata matanya .
burung hantu itu mata matanya .	sekarang dia tahu tentang cermin itu .
sekarang dia tahu tentang cermin itu .	jika dia menemukannya , segala yang kamu sayangi akan terkubur dalam es .
jika dia menemukannya , segala yang kamu sayangi akan terkubur dalam es .	kerahkan anak buahmu ke utara .
kerahkan anak buahmu ke utara .	mengapa kalian berdua masih di sini ?
mengapa kalian berdua masih di sini ?	kami rekanan .
kami rekanan .	tidak , kami tidak rekanan .
tidak , kami tidak rekanan .	aku juga anak buah puteri salju .
aku juga anak buah puteri salju .	maksudku , sebagai kurcaci .
maksudku , sebagai kurcaci .	jika dia dalam masalah , aku ingin membantu .
jika dia dalam masalah , aku ingin membantu .	ratuku .
ratuku .	kerajaan vardhelm telah kalah .
kerajaan vardhelm telah kalah .	itu benteng terakhir mereka .
itu benteng terakhir mereka .	seluruh daratan putih jadi milikmu .
seluruh daratan putih jadi milikmu .	kamu telah menang .
kamu telah menang .	benarkah ?
benarkah ?	permainan ini belum berakhir .
permainan ini belum berakhir .	di sinikah dunia berakhir ?
di sinikah dunia berakhir ?	ataukah ada daratan lain ?
ataukah ada daratan lain ?	ratuku , wilayah selatan tidak bisa ditaklukan .
ratuku , wilayah selatan tidak bisa ditaklukan .	kerajaan puteri salju begitu luas , pasukannya begitu .. , ..
kerajaan puteri salju begitu luas , pasukannya begitu .. , ..	apa kamu tahu eric masih hidup ?
apa kamu tahu eric masih hidup ?	apa kamu tahu ?
apa kamu tahu ?	aku .. , ..
aku .. , ..	bagaimana mungkin ?
bagaimana mungkin ?	aku bersumpah sudah kubuang mayatnya .. , ..
aku bersumpah sudah kubuang mayatnya .. , ..	tidak apa .
tidak apa .	aku menyukai seperti ini .
aku menyukai seperti ini .	ada sesuatu yang harus eric cari .
ada sesuatu yang harus eric cari .	aku menginginkannya .
aku menginginkannya .	cermin kakakku .
cermin kakakku .	cermin itu memiliki kekuatan besar .
cermin itu memiliki kekuatan besar .	dengan cermin itu dalam kekuasaanku , aku bisa melakukan banyak hal hebat .
dengan cermin itu dalam kekuasaanku , aku bisa melakukan banyak hal hebat .	akan kubebaskan semua anak anak .
akan kubebaskan semua anak anak .	akan kuselamatkan mereka semua seperti aku menyelamatkanmu .
akan kuselamatkan mereka semua seperti aku menyelamatkanmu .	dan pasukan pemburuku akan bertumbuh .. , ..
dan pasukan pemburuku akan bertumbuh .. , ..	sampai tidak ada yang bisa menandingi mereka !
sampai tidak ada yang bisa menandingi mereka !	seperti yang kamu lihat , permainan ini belumlah berakhir .
seperti yang kamu lihat , permainan ini belumlah berakhir .	persiapkan para pemburu .
persiapkan para pemburu .	mereka datang lewat sini .
mereka datang lewat sini .	sudah jelas .
sudah jelas .	ini akses menuju jalan utara .
ini akses menuju jalan utara .	langsung menuju ke biara suci .
langsung menuju ke biara suci .	tidak perlu jadi pemburu untuk mengetahuinya .
tidak perlu jadi pemburu untuk mengetahuinya .	hai , nion , siapa aku ?
hai , nion , siapa aku ?	aku bicara ke tanah .
aku bicara ke tanah .	kudengar tanah bicara padaku .
kudengar tanah bicara padaku .	dia mahir melakukan itu , gryff .
dia mahir melakukan itu , gryff .	dia memang mahir .
dia memang mahir .	dia juga pelawak .
dia juga pelawak .	iya .. , ..
iya .. , ..	kami menuju ke utara .
kami menuju ke utara .	sebenarnya , mereka menuju ke barat .
sebenarnya , mereka menuju ke barat .	jalanan utara melewati lembah di mana tidak ada tempat berlindung .
jalanan utara melewati lembah di mana tidak ada tempat berlindung .	jalanan barat langsung berada di dekat hutan .
jalanan barat langsung berada di dekat hutan .	di sanalah mereka mendirikan tenda .
di sanalah mereka mendirikan tenda .	di sanalah kami akan menemukan mereka .
di sanalah kami akan menemukan mereka .	sudah jelas .. , ..
sudah jelas .. , ..	shhh , shhh .
shhh , shhh .	tanah bicara padaku lagi .
tanah bicara padaku lagi .	apa katanya ?
apa katanya ?	katanya , si tukang ngoceh itu sangat bodoh .
katanya , si tukang ngoceh itu sangat bodoh .	dia tidak akan bertahan sehari sendirian dan harus pulang .
dia tidak akan bertahan sehari sendirian dan harus pulang .	aku setuju .
aku setuju .	aku tidak akan pulang sampai dapat hadiahku .
aku tidak akan pulang sampai dapat hadiahku .	kamu mau emas , tapi yang kamu temukan hanyalah kematian .
kamu mau emas , tapi yang kamu temukan hanyalah kematian .	sedikit mendramatisir .
sedikit mendramatisir .	mendramatisir , iya , memang benar .
mendramatisir , iya , memang benar .	kami anggap itu sebagai peringatan tambahan , kurasa .
kami anggap itu sebagai peringatan tambahan , kurasa .	aku tahu aku tidak takut pada freya si pembeku .
aku tahu aku tidak takut pada freya si pembeku .	hai , jangan terlalu keras .
hai , jangan terlalu keras .	pelankan suaramu .
pelankan suaramu .	kamu jauh lebih bodoh dari yang kukira .
kamu jauh lebih bodoh dari yang kukira .	astaga .
astaga .	imdb
imdb	wiriadikrama
wiriadikrama	melur dua nomor saratus perum bumi rancaekek kencana , bandung
melur dua nomor saratus perum bumi rancaekek kencana , bandung	o.k.
o.k.	corral
corral	o.k.
o.k.	corral
corral	disanalah segerombolan penjahat
disanalah segerombolan penjahat	membuat perhitungan terakhir
membuat perhitungan terakhir	o.k.
o.k.	corral
corral	ooooh sayangku , salah satu harus mati
ooooh sayangku , salah satu harus mati	jatuh tersungkur oleh senjataku
jatuh tersungkur oleh senjataku	atau mengambil kesempatan dari kehilangan ..
atau mengambil kesempatan dari kehilangan ..	dirimu selamanya
dirimu selamanya	panggilan tugas
panggilan tugas	aku kembali kedinding
aku kembali kedinding	tidak ada kalimat untuk dikatakan
tidak ada kalimat untuk dikatakan	sebelum aku pergi melarikan diri
sebelum aku pergi melarikan diri	cinta
cinta	cintamu
cintamu	aku membutuhkan ...
aku membutuhkan ...	cintamu
cintamu	jagalah api tetap menyala supaya bisa membakar ...
jagalah api tetap menyala supaya bisa membakar ...	sampai aku kembali ...
sampai aku kembali ...	dari pertarungan di o.k.corral
dari pertarungan di o.k.corral	jika tuhan sebagai temanku
jika tuhan sebagai temanku	pada akhirnya kami akan bertemu ...
pada akhirnya kami akan bertemu ...	pada pertarungan di o.k.corral
pada pertarungan di o.k.corral	pertarungan di o.k.corral
pertarungan di o.k.corral	o.k.
o.k.	corral
corral	o.k.
o.k.	corral
corral	disanalah segerombolan penjahat
disanalah segerombolan penjahat	membuat perhitungan terakhir
membuat perhitungan terakhir	o.k.
o.k.	corral
corral	ooooh sayangku , salah satu harus mati
ooooh sayangku , salah satu harus mati	jatuh tersungkur oleh senjataku
jatuh tersungkur oleh senjataku	atau mengambil kesempatan dari kehilangan ..
atau mengambil kesempatan dari kehilangan ..	dirimu selamanya
dirimu selamanya	panggilan tugas
panggilan tugas	aku kembali kedinding
aku kembali kedinding	tidak ada kalimat untuk dikatakan
tidak ada kalimat untuk dikatakan	sebelum aku pergi melarikan diri
sebelum aku pergi melarikan diri	bukit sepatu
bukit sepatu	bukit sepatu
bukit sepatu	begitu dingin
begitu dingin	begitu hening
begitu hening	pemakaman bukit sepatu griffin texas
pemakaman bukit sepatu griffin texas	dalam pertarungan di o.k. corral
dalam pertarungan di o.k. corral	o.k.
o.k.	corral
corral	pertarungan di o.k. corral
pertarungan di o.k. corral	edit bahasa penyesuaian waktu oleh timong
edit bahasa penyesuaian waktu oleh timong	mimoth
mimoth	almu
almu	this subtitle for playing time
this subtitle for playing time	wiriadikrama family melur dua nomor saratus , brk , bandung
wiriadikrama family melur dua nomor saratus , brk , bandung	hai , ed .
hai , ed .	di mana doc holliday ?
di mana doc holliday ?	di hotel , dia sudah menunggumu ...
di hotel , dia sudah menunggumu ...	katakan padanya aku menunggunya .
katakan padanya aku menunggunya .	tidak perlu ed , seluruh kota tahu kamu menunggunya sekarang .
tidak perlu ed , seluruh kota tahu kamu menunggunya sekarang .	sebelum adanya pembunuhan lain ...
sebelum adanya pembunuhan lain ...	pergilah dan layani pelangganmu ,
pergilah dan layani pelangganmu ,	dan jangan campuri urusanku , shanssey .
dan jangan campuri urusanku , shanssey .	adikmu datang kemari berbau minuman dan berkelahi .
adikmu datang kemari berbau minuman dan berkelahi .	wiski , simpan disana
wiski , simpan disana	dia mencabut pistol dan diarahkan ke holliday .
dia mencabut pistol dan diarahkan ke holliday .	terserah kamu , ed .
terserah kamu , ed .	lepaskan senjata kalian jika kalian ingin disini
lepaskan senjata kalian jika kalian ingin disini	tinggalkan botolnya .
tinggalkan botolnya .	kamu tidak mempunyai kesempatan , doc
kamu tidak mempunyai kesempatan , doc	bailey bersama dua orang lainnya .
bailey bersama dua orang lainnya .	oh , sayang , ayo kami pergi dari sini , selagi ada waktu .
oh , sayang , ayo kami pergi dari sini , selagi ada waktu .	seluruh kota , termasuk marshal sedang menunggumu .
seluruh kota , termasuk marshal sedang menunggumu .	benar atau salah mereka akan menggantungmu untuk pembunuhan yang kamu lakukan , kamu tahu itu
benar atau salah mereka akan menggantungmu untuk pembunuhan yang kamu lakukan , kamu tahu itu	doc .
doc .	kamu tidak mau mendengarku .
kamu tidak mau mendengarku .	kate , tuan bailey datang dari fort worth ...
kate , tuan bailey datang dari fort worth ...	mencariku demi urusan pria terhormat
mencariku demi urusan pria terhormat	seorang pria terhormat .
seorang pria terhormat .	hmmm ...
hmmm ...	jadi tidak sopan bila meninggalkan kota , bukan ?
jadi tidak sopan bila meninggalkan kota , bukan ?	jangan memulai urusan lelaki denganku lagi
jangan memulai urusan lelaki denganku lagi	ini murni tentang etika , tapi ...
ini murni tentang etika , tapi ...	itu adalah sesuatu yang tidak akan mengerti olehmu
itu adalah sesuatu yang tidak akan mengerti olehmu	kenapa kamu selalu memperlakukanku seperti kotoran ?
kenapa kamu selalu memperlakukanku seperti kotoran ?	kamu tidak lebih baik dariku
kamu tidak lebih baik dariku	itu bisa dibicarakan .
itu bisa dibicarakan .	oh , itu ?
oh , itu ?	aku beritahu padamu , doc holliday
aku beritahu padamu , doc holliday	pakaian mewah dan pandai bicara tidak membuatmu menjadi pria terhormat .
pakaian mewah dan pandai bicara tidak membuatmu menjadi pria terhormat .	kamu adalah kotoran sama sepertiku ...
kamu adalah kotoran sama sepertiku ...	dan aku bosan mendengar tentang perkebunan georgia ...
dan aku bosan mendengar tentang perkebunan georgia ...	dan semua bunga lily teman kulit putihmu .
dan semua bunga lily teman kulit putihmu .	itu semua telah hilang sekarang , telah hilang !
itu semua telah hilang sekarang , telah hilang !	.
.	iya ...
iya ...	disini aku bersamamu
disini aku bersamamu	keluargamu mengais sampah setelah peperangan menghancurkan mereka ...
keluargamu mengais sampah setelah peperangan menghancurkan mereka ...	hanya untuk dapat mengirimmu ke sekolah kedokteran gigi ...
hanya untuk dapat mengirimmu ke sekolah kedokteran gigi ...	kamu menjadi orang terhormat ,
kamu menjadi orang terhormat ,	mereka akan sangat bangga padamu
mereka akan sangat bangga padamu	jangan pernah kamu berani menyebut keluargaku lagi .
jangan pernah kamu berani menyebut keluargaku lagi .	kumohon ...
kumohon ...	doc , kumohon ...
doc , kumohon ...	lupakan bailey .
lupakan bailey .	ayo kami pergi dari sini selagi masih ada waktu .
ayo kami pergi dari sini selagi masih ada waktu .	mungkin ...
mungkin ...	mungkin kami bisa pergi ke loredo , seperti katamu ...
mungkin kami bisa pergi ke loredo , seperti katamu ...	dan mengobati batukmu
dan mengobati batukmu	yang semakin memburuk ...
yang semakin memburuk ...	kekhawatiranmu tentang kesehatanku sangat membuatku tersentuh .
kekhawatiranmu tentang kesehatanku sangat membuatku tersentuh .	kamu tahu bagaimana perasaanku padamu .
kamu tahu bagaimana perasaanku padamu .	aku tahu persis bagaimana perasaanmu
aku tahu persis bagaimana perasaanmu	aku tidak tahu ...
aku tidak tahu ...	aku tidak tahu apa yang akan kulakukan , jika terjadi sesuatu padamu .
aku tidak tahu apa yang akan kulakukan , jika terjadi sesuatu padamu .	kamu akan kehilangan selera makanmu , bukan ?
kamu akan kehilangan selera makanmu , bukan ?	jangan katakan itu padaku doc .
jangan katakan itu padaku doc .	aku telah baik padamu , bukan ?
aku telah baik padamu , bukan ?	mengapa kamu tidak pernah memikirkanku , walau sekali ?
mengapa kamu tidak pernah memikirkanku , walau sekali ?	baiklah , pergilah ke shanssey , dan katakan pada mereka aku akan ke sana
baiklah , pergilah ke shanssey , dan katakan pada mereka aku akan ke sana	tolong jangan pergi ke sana .
tolong jangan pergi ke sana .	lakukan seperti yang aku katakan .
lakukan seperti yang aku katakan .	aku butuh uang .
aku butuh uang .	hai , wyatt .
hai , wyatt .	cotton wilson .
cotton wilson .	sudah lama sekali ,
sudah lama sekali ,	teman , aku berencana pergi keluar .
teman , aku berencana pergi keluar .	aku berharap , kamu punya berita baru untukku
aku berharap , kamu punya berita baru untukku	ike clanton pergi lewat sini tiga hari yang lalu menuju ke timur .
ike clanton pergi lewat sini tiga hari yang lalu menuju ke timur .	waco , kupikir johnny ringgo bersamanya
waco , kupikir johnny ringgo bersamanya	menuju ke timur ?
menuju ke timur ?	kamu tidak menerima telegram dariku ?
kamu tidak menerima telegram dariku ?	aku menerimanya .
aku menerimanya .	kenapa kamu tidak menahannya ?
kenapa kamu tidak menahannya ?	aku tidak punya masalah dengan ike clanton , aku tidak dapat menahannya .
aku tidak punya masalah dengan ike clanton , aku tidak dapat menahannya .	tidak dapat menahannya ?
tidak dapat menahannya ?	mengapa ?
mengapa ?	lusinan dakwaan telah dituduhkan padanya
lusinan dakwaan telah dituduhkan padanya	aku telah melakukan semua ini , jadi ia terpaksa pergi ke griffin .
aku telah melakukan semua ini , jadi ia terpaksa pergi ke griffin .	kukira jika ada yang bisa menghentikannya , itu adalah kamu .
kukira jika ada yang bisa menghentikannya , itu adalah kamu .	jangan biarkan darahmu mendidih wyatt ...
jangan biarkan darahmu mendidih wyatt ...	cotton , kamu sedang bicara dengan wyatt earp
cotton , kamu sedang bicara dengan wyatt earp	sepuluh tahun lalu , aku menyaksikanmu berjalan dengan hanya satu tanganmu
sepuluh tahun lalu , aku menyaksikanmu berjalan dengan hanya satu tanganmu	ke sebuah bar di kota oklahoma ...
ke sebuah bar di kota oklahoma ...	dan melumpuhkan tiga penembak cepat dari daerah itu
dan melumpuhkan tiga penembak cepat dari daerah itu	sepuluh tahun adalah waktu yang lama .
sepuluh tahun adalah waktu yang lama .	kukira aku semakin tua ...
kukira aku semakin tua ...	sebelumnya bila ada yang berkata cotton wilson menjadi pengecut ...
sebelumnya bila ada yang berkata cotton wilson menjadi pengecut ...	aku akan menyebutnya pembohong ...
aku akan menyebutnya pembohong ...	kamu tidak berhak berkata demikian padaku
kamu tidak berhak berkata demikian padaku	aku telah melawan ketua geng terkuat di perbatasan
aku telah melawan ketua geng terkuat di perbatasan	mengapa kamu tidak menahan ringo dan clanton ?
mengapa kamu tidak menahan ringo dan clanton ?	mengapa ?
mengapa ?	jika kamu tidak mampu lagi mengatasinya , serahkan lencanamu .
jika kamu tidak mampu lagi mengatasinya , serahkan lencanamu .	menyerahkan lencanaku .
menyerahkan lencanaku .	aku sudah menjadi penegak hukum selama tahun , menutup semua lubang neraka di semua daerah
aku sudah menjadi penegak hukum selama tahun , menutup semua lubang neraka di semua daerah	kamu tahu apa yang akan kuperlihatkan ?
kamu tahu apa yang akan kuperlihatkan ?	sebuah kamar seharga perbulan
sebuah kamar seharga perbulan	di belakang sebuah cruddy kamar kost dan sebuah bintang logam
di belakang sebuah cruddy kamar kost dan sebuah bintang logam	kamu pikir aku suka terasing ditempat seperti ini ?
kamu pikir aku suka terasing ditempat seperti ini ?	ini akhir dari hidupku , wyatt .
ini akhir dari hidupku , wyatt .	ini akan terjadi padamu suatu hari , seperti terjadi pada kami semua
ini akan terjadi padamu suatu hari , seperti terjadi pada kami semua	di manakah si kurang ajar yang penakut ?
di manakah si kurang ajar yang penakut ?	tenang , ed .
tenang , ed .	holliday hanya berusaha membuatmu gusar .
holliday hanya berusaha membuatmu gusar .	apa kamu pikir , yang kamu laukan ini dapat menghalangi holliday ?
apa kamu pikir , yang kamu laukan ini dapat menghalangi holliday ?	dia akan membunuh mereka .
dia akan membunuh mereka .	wyatt earp , anak tertua dari pemain pistol
wyatt earp , anak tertua dari pemain pistol	kenapa kamu tidak memberitahu kami akan kemari ?
kenapa kamu tidak memberitahu kami akan kemari ?	senang bertemu denganmu , john .
senang bertemu denganmu , john .	hai , marshal .
hai , marshal .	ayo .
ayo .	duduklah .
duduklah .	cerutu ?
cerutu ?	aku akan berbincang bersama si anak pistol .
aku akan berbincang bersama si anak pistol .	kamu tentu telah datang dari jauh dari pembangunan rel kereta di cheyenne
kamu tentu telah datang dari jauh dari pembangunan rel kereta di cheyenne	ellsworth , wichita , sekarang dodge city .
ellsworth , wichita , sekarang dodge city .	lucu , aku tidak menyangka kamu jadi penegak hukum , kamu selalu sembrono dan liar
lucu , aku tidak menyangka kamu jadi penegak hukum , kamu selalu sembrono dan liar	aku juga tidak pernah membayangkan , menjadi penegak hukum .
aku juga tidak pernah membayangkan , menjadi penegak hukum .	buatkan steak yang enak untuk tuan earp .
buatkan steak yang enak untuk tuan earp .	iya , pak .
iya , pak .	persediaan pribadiku .
persediaan pribadiku .	bagaimana kabar saudarasaudara kami ?
bagaimana kabar saudarasaudara kami ?	baik .
baik .	virgil dan morgan sudah menikah .
virgil dan morgan sudah menikah .	virgil dan morgan menikah ?
virgil dan morgan menikah ?	apa lagi yang kamu tahu ?
apa lagi yang kamu tahu ?	john , aku butuh bantuan
john , aku butuh bantuan	semuanya akan kulakukan untukmu .
semuanya akan kulakukan untukmu .	ike clanton dan johnny ringgo lewat sini tiga hari yang lalu .
ike clanton dan johnny ringgo lewat sini tiga hari yang lalu .	banyak tuduhan terhadap mereka .
banyak tuduhan terhadap mereka .	aku telah mengirimkan telegram ke cotton untuk menahan mereka , tapi mereka lolos .
aku telah mengirimkan telegram ke cotton untuk menahan mereka , tapi mereka lolos .	cotton telah banyak berubah .
cotton telah banyak berubah .	kamu tahu sesuatu ?
kamu tahu sesuatu ?	kuharap aku punya , tapi ...
kuharap aku punya , tapi ...	tunggu sebentar ...
tunggu sebentar ...	doc holliday bermain poker dengan mereka , mungkin dia tahu sesuatu .
doc holliday bermain poker dengan mereka , mungkin dia tahu sesuatu .	bartender !
bartender !	...
...	bartender !
bartender !	...
...	berikan kami wiski , kami ingin minum disini !
berikan kami wiski , kami ingin minum disini !	ed bailey ...
ed bailey ...	doc holliday telah membunuh saudaranya .
doc holliday telah membunuh saudaranya .	orang itu datang saat mabuk , berjudi dan main curang .
orang itu datang saat mabuk , berjudi dan main curang .	dia menodongkan pistol pada doc .
dia menodongkan pistol pada doc .	kamu pernah bertemu holliday ?
kamu pernah bertemu holliday ?	kami menyeberang bersama sekali , lalu dia menjadi dokter gigi .
kami menyeberang bersama sekali , lalu dia menjadi dokter gigi .	kamu tahu , aku terlalu sering melihat orang berkelahi masalah selalu mendatangi mereka
kamu tahu , aku terlalu sering melihat orang berkelahi masalah selalu mendatangi mereka	itu sudah menjadi kebiasaan pria bersenjata di perbatasan ...
itu sudah menjadi kebiasaan pria bersenjata di perbatasan ...	menginginkan penghargaan atas kedudukannya di boot hill .
menginginkan penghargaan atas kedudukannya di boot hill .	kamu tidak tahu seperti apa ketika seorang pria mendapatkan reputasi .
kamu tidak tahu seperti apa ketika seorang pria mendapatkan reputasi .	tentu aku tahu .
tentu aku tahu .	di mana holliday ?
di mana holliday ?	sebaiknya aku menemuinya , keadaan masih memungkinkan .
sebaiknya aku menemuinya , keadaan masih memungkinkan .	dia di hotel .
dia di hotel .	jaga steak tetap hangat , aku akan kembali
jaga steak tetap hangat , aku akan kembali	kamu tidak akan kehilangan apapun , ini longhorn .
kamu tidak akan kehilangan apapun , ini longhorn .	holliday .
holliday .	duduklah , buat dirimu nyaman sedang berkunjung .
duduklah , buat dirimu nyaman sedang berkunjung .	apakah kamu ingat aku ...
apakah kamu ingat aku ...	aku ingat kamu , wyatt earp .
aku ingat kamu , wyatt earp .	mencabut gigimu tahun lalu
mencabut gigimu tahun lalu	andai aku tahu kamu akan jadi ...
andai aku tahu kamu akan jadi ...	kudengar kamu telah beralih pekerjaan .
kudengar kamu telah beralih pekerjaan .	sangat disayangkan , kamu seorang dokter gigi .
sangat disayangkan , kamu seorang dokter gigi .	pasienku tidak suka pada batukku .
pasienku tidak suka pada batukku .	aku membutuhkan informasi
aku membutuhkan informasi	nama permainan ini adalah solitaire
nama permainan ini adalah solitaire	posisiku memungkinkan untuk tawarmenawar .
posisiku memungkinkan untuk tawarmenawar .	selamat malam , tuan earp .
selamat malam , tuan earp .	aku tahu sesuatu yang membuatmu tertarik
aku tahu sesuatu yang membuatmu tertarik	kamu tidak tahu apapun yang akan membuatku tertarik .
kamu tidak tahu apapun yang akan membuatku tertarik .	seandainya kukatakan padamu bahwa ed bailey ...
seandainya kukatakan padamu bahwa ed bailey ...	punyai senjata kecil yang disembunyikan di sepatunya .
punyai senjata kecil yang disembunyikan di sepatunya .	kiri atau kanan ?
kiri atau kanan ?	kiri .
kiri .	menurutku , itu informasi yang bagus , bailey kidal .
