cha taehyun	song hyegyo
menjauhlah dari kami ..	aku bersungguh sungguh .
aku bersungguh sungguh .	oh , hai , lihat siapa yang datang ke sini .
oh , hai , lihat siapa yang datang ke sini .	hai , apa kabar , kawan ?
hai , apa kabar , kawan ?	apakah kamu baik baik saja ?
apakah kamu baik baik saja ?	aku ingin bergabung .
aku ingin bergabung .	kamu memang telah bergabung .
kamu memang telah bergabung .	kami tidak membiarkan begitu saja orang lain berlatih bersama kami .
kami tidak membiarkan begitu saja orang lain berlatih bersama kami .	tidak , aku sedang membicarakan masalah pekerjaan ..
tidak , aku sedang membicarakan masalah pekerjaan ..	apapun pekerjaan yang kalian kerjakan , kamu ingin bergabung di dalamnya .
apapun pekerjaan yang kalian kerjakan , kamu ingin bergabung di dalamnya .	apa masalah kamu ?
apa masalah kamu ?	apa yang kalian pikirkan , aku seorang agen polisi atau semacamnya ?
apa yang kalian pikirkan , aku seorang agen polisi atau semacamnya ?	ayolah .
ayolah .	hai , dylan
hai , dylan	aku harus berbicara pada miller
aku harus berbicara pada miller	temukan aku dengannya .
temukan aku dengannya .	tidak , itu sebuah ide yang buruk .
tidak , itu sebuah ide yang buruk .	kenapa , kamu tahu sesuatu yang tidak aku ketahui ?
kenapa , kamu tahu sesuatu yang tidak aku ketahui ?	kami melakukan bisnis transport , cam .
kami melakukan bisnis transport , cam .	kami memindahkan barang berharga .
kami memindahkan barang berharga .	orang orang memperkerjakan kami untuk membuat halangan itu hilang , berganti tangan , di serahkan
orang orang memperkerjakan kami untuk membuat halangan itu hilang , berganti tangan , di serahkan	perbedaannya adalah aku menyediakan ansuransi yang tidak bisa di lakukan orang lain .
perbedaannya adalah aku menyediakan ansuransi yang tidak bisa di lakukan orang lain .	aku menjamin pekerjaannya .
aku menjamin pekerjaannya .	kamu ingin barang bukti menghilang ?
kamu ingin barang bukti menghilang ?	kami bisa melakukan itu untuk kamu .
kami bisa melakukan itu untuk kamu .	itu sebuah profesi .
itu sebuah profesi .	kami tidak mengesankan pencari yang menarik setiap nilai secara bersamaan .
kami tidak mengesankan pencari yang menarik setiap nilai secara bersamaan .	kuncinya adalah kecepatan dan keheningan .
kuncinya adalah kecepatan dan keheningan .	masuk dan keluar , cepat dan senyap .
masuk dan keluar , cepat dan senyap .	bekerja sebagai sebuah tim .
bekerja sebagai sebuah tim .	setiap orang tahu tugasnya masing masing .
setiap orang tahu tugasnya masing masing .	dokumen dokumen .
dokumen dokumen .	barang kimia .
barang kimia .	teknologi .
teknologi .	apapun .
apapun .	kami tidak mengesampingkannya .
kami tidak mengesampingkannya .	sekarang aku hanya ada dua aturan .
sekarang aku hanya ada dua aturan .	the first is , yang pertama adalah , jika kamu berada dalam masalah , akulah
the first is , yang pertama adalah , jika kamu berada dalam masalah , akulah	aturan yang kedua , kamu menjauhlah dari chinatown .
aturan yang kedua , kamu menjauhlah dari chinatown .	bahkan jika kamu tidak sedang bekerja .
bahkan jika kamu tidak sedang bekerja .	kenapa seperti itu ?
kenapa seperti itu ?	aku sedang mengundang kamu untuk duduk di meja makan malam .
aku sedang mengundang kamu untuk duduk di meja makan malam .	tunjukan pada aku bagaimana kamu bisa menjadi seorang tamu yang baik .
tunjukan pada aku bagaimana kamu bisa menjadi seorang tamu yang baik .	kerja yang bagus .
kerja yang bagus .	dyl !
dyl !	berbaliklah !
berbaliklah !	tahan !
tahan !	jangan bergerak !
jangan bergerak !	aku tidak bergerak .
aku tidak bergerak .	tutup mulut kamu !
tutup mulut kamu !	tutup mulut kamu !
tutup mulut kamu !	aku tidak bergerak !
aku tidak bergerak !	kamu bekerja untuk siapa ?
kamu bekerja untuk siapa ?	aku bilang , kamu bekerja untuk siapa ?
aku bilang , kamu bekerja untuk siapa ?	jawab pertanyaannya !
jawab pertanyaannya !	apa yang ada di dalam tas itu ?
apa yang ada di dalam tas itu ?	katakan pada aku apa yang ada di dalam tas itu !
katakan pada aku apa yang ada di dalam tas itu !	aku tidak tahu !
aku tidak tahu !	berikan tas itu padaku !
berikan tas itu padaku !	tidak !
tidak !	berikan tas itu pada aku !
berikan tas itu pada aku !	berikan tas itu !
berikan tas itu !	kamu beritahu aku apa yang ada di dalam tas itu !
kamu beritahu aku apa yang ada di dalam tas itu !	kamu beritahu aku apa yang ada di dalam tas itu !
kamu beritahu aku apa yang ada di dalam tas itu !	atau aku akan menghancurkan otak kamu sekarang juga !
atau aku akan menghancurkan otak kamu sekarang juga !	aku bersumpah !
aku bersumpah !	apa isi tas itu !
apa isi tas itu !	aku hanya pengantar tas itu !
aku hanya pengantar tas itu !	kerja yang bagus , cam .
kerja yang bagus , cam .	apa ..
apa ..	apa yang sedang terjadi ?
apa yang sedang terjadi ?	kamu membuat beberapa gerakan yang serius di luar sana , kawan .
kamu membuat beberapa gerakan yang serius di luar sana , kawan .	kawan , kami mendengar tentang bis itu .
kawan , kami mendengar tentang bis itu .	itu benar benar gila !
itu benar benar gila !	dan kamu , pak , kamu adalah bajingan !
dan kamu , pak , kamu adalah bajingan !	hai , ini tidak apa apa , kawan .
hai , ini tidak apa apa , kawan .	kami hanya memastikan kamu memiliki bantuan dari kami .
kami hanya memastikan kamu memiliki bantuan dari kami .	kamu keluarga kami sekarang .
kamu keluarga kami sekarang .	bagaimana menurut kamu ?
bagaimana menurut kamu ?	aku pikir kalian adalah sekumpulan bajingan .
aku pikir kalian adalah sekumpulan bajingan .	terutama kamu
terutama kamu	hai .
hai .	hai .
hai .	kemana kamu akan membawa aku ?
kemana kamu akan membawa aku ?	oke .
oke .	di mana yang lainnya
di mana yang lainnya	mereka sibuk .
mereka sibuk .	iya ..
iya ..	kamu ingin membeli kopi atau sesuatu ?
kamu ingin membeli kopi atau sesuatu ?	ini bukan sebuah kencan ..
ini bukan sebuah kencan ..	aku tidak ..
aku tidak ..	aku tidak menganggap ini seperti sebuah kencan .
aku tidak menganggap ini seperti sebuah kencan .	kami selesaikan saja tugas ini , oke ?
kami selesaikan saja tugas ini , oke ?	jadi berapa lama kamu bekerja untuk miller ?
jadi berapa lama kamu bekerja untuk miller ?	beberapa tahun .
beberapa tahun .	kamu tumbuh besar di kota ini ?
kamu tumbuh besar di kota ini ?	tidak .
tidak .	di mana kamu belajar melakukan parkour ?
di mana kamu belajar melakukan parkour ?	di sini .
di sini .	kamu masih tinggal bersama dylan ?
kamu masih tinggal bersama dylan ?	oke , sudah cukup dengan pertanyaan itu , oke ?
oke , sudah cukup dengan pertanyaan itu , oke ?	aku hanya berusaha membuat percakapan .
aku hanya berusaha membuat percakapan .	iya , tapi kamu ingin bergabung .
iya , tapi kamu ingin bergabung .	tebak saja ?
tebak saja ?	kamu sudah bergabung .
kamu sudah bergabung .	tidak ada lagi yang harus di diskusikan .
tidak ada lagi yang harus di diskusikan .	apa masalah kamu ?
apa masalah kamu ?	masalah aku ?
masalah aku ?	iya , apa masalah kamu ?
iya , apa masalah kamu ?	aku tidak punya sebuah masalah .
aku tidak punya sebuah masalah .	kalau begitu kenap akau bersikap seperti ini ?
kalau begitu kenap akau bersikap seperti ini ?	bersikap seperti apa ?
bersikap seperti apa ?	aku ..
aku ..	aku tidak tahu .
aku tidak tahu .	aku hanya menganggap kami bisa ..
aku hanya menganggap kami bisa ..	aku tidak meminta kamu untuk mencari aku .
aku tidak meminta kamu untuk mencari aku .	sungguh ?
sungguh ?	kamu yakin tentang itu ?
kamu yakin tentang itu ?	kamu tidak memberi aku sepeda itu ..
kamu tidak memberi aku sepeda itu ..	aku akan mengatakan pada miller kamu bisa bekerja sendirian lain kali .
aku akan mengatakan pada miller kamu bisa bekerja sendirian lain kali .	kamu tidak membutuhkan seorang pengasuh .
kamu tidak membutuhkan seorang pengasuh .	oke .
oke .	ini orang barunya ?
ini orang barunya ?	iya .
iya .	semoga beruntung , orang baru .
semoga beruntung , orang baru .	dylan .
dylan .	jax .
jax .	nikki .
nikki .	tate .
tate .	karyawan bulan ini , cam .
karyawan bulan ini , cam .	angie ?
angie ?	apa yang sedang kamu lakukan di sini , cam ?
apa yang sedang kamu lakukan di sini , cam ?	aku sedang bekerja .
aku sedang bekerja .	aku tahu .
aku tahu .	aku membawakan uang sewa untuk kamu .
aku membawakan uang sewa untuk kamu .	aku tidak perduli apa yang kamu bawa .
aku tidak perduli apa yang kamu bawa .	aku sudah mengatakan pada kamu untuk tidak mengganggu kami , oke ?
aku sudah mengatakan pada kamu untuk tidak mengganggu kami , oke ?	angie ...
angie ...	angie , aku mohon
angie , aku mohon	hai , hai .
hai , hai .	aku mohon , ambilah ini .
aku mohon , ambilah ini .	oke ?
oke ?	itu akan membuat kamu bertahan sampai seseorang pindah ke tempat kamu .
itu akan membuat kamu bertahan sampai seseorang pindah ke tempat kamu .	ini terlalu banyak .
ini terlalu banyak .	kamu sedang terlibat dalam masalah apa ?
kamu sedang terlibat dalam masalah apa ?	ibu aku jatuh sakit setelah dia kehilangan pekerjaannya .
ibu aku jatuh sakit setelah dia kehilangan pekerjaannya .	, , lalu aku meminjam beberapa uang dari jalanan untuk membantunya mempertahankan rumahnya .
, , lalu aku meminjam beberapa uang dari jalanan untuk membantunya mempertahankan rumahnya .	itu tidak cukup .
itu tidak cukup .	lalu bank menyita rumahnya seminggu sebelum dia meninggal .
lalu bank menyita rumahnya seminggu sebelum dia meninggal .	kamu memiliki hati yang baik , cam , tapi kamu harus berhati hati .
kamu memiliki hati yang baik , cam , tapi kamu harus berhati hati .	di masa depan kamu masuk dalam jalan yang salah , semakin sulit untuk menemukan jalan
di masa depan kamu masuk dalam jalan yang salah , semakin sulit untuk menemukan jalan	aku harus kembali bekerja .
aku harus kembali bekerja .	tunggu , sebentar .
tunggu , sebentar .	tunggu sebentar .
tunggu sebentar .	bisakah kamu berikan ini pada joey ?
bisakah kamu berikan ini pada joey ?	kamu tidak harus menyebutkan bahwa ini dari aku .
kamu tidak harus menyebutkan bahwa ini dari aku .	aku minta maaf atas semuanya .
aku minta maaf atas semuanya .	aku sungguh sungguh minta maaf .
aku sungguh sungguh minta maaf .	aku tidak akan mengganggu kalian lagi , aku berjanji .
aku tidak akan mengganggu kalian lagi , aku berjanji .	hai .
hai .	bagaimana menurut kamu , kawan ?
bagaimana menurut kamu , kawan ?	cat pabrik , warna abuabu laut .
cat pabrik , warna abuabu laut .	ban berukuran inchi
ban berukuran inchi	kamu punya sesuatu untuk kami ?
kamu punya sesuatu untuk kami ?	eh , itu bahkan tidak berjumlah ribu dolar , kawan .
eh , itu bahkan tidak berjumlah ribu dolar , kawan .	aku membutuhkan ribu dolar .
aku membutuhkan ribu dolar .	beri aku waktu beberapa minggu , aku akan mendapatkan uang itu untuk kamu .
beri aku waktu beberapa minggu , aku akan mendapatkan uang itu untuk kamu .	iya , itu melewati batas waktunya , cam .
iya , itu melewati batas waktunya , cam .	aku berharap kami bisa bernegosiasi ulang .
aku berharap kami bisa bernegosiasi ulang .	dengar , aku mendapatkan sebuah pekerjaan baru .
dengar , aku mendapatkan sebuah pekerjaan baru .	kamu bisa menaikkan bunganya jika kamu mau ..
kamu bisa menaikkan bunganya jika kamu mau ..	ugh !
ugh !	kamu masih bersikap seperti aku adalah bosnya , cam .
kamu masih bersikap seperti aku adalah bosnya , cam .	aku bukan bosnya , oke ?
aku bukan bosnya , oke ?	chen adalah bosnya .
chen adalah bosnya .	uang yang kamu hutang dari aku , aku berhutang pada chen !
uang yang kamu hutang dari aku , aku berhutang pada chen !	you put me in a tight spot here , cam .
you put me in a tight spot here , cam .	kamu membuat aku dalam posisi sulit di sini , cam .
kamu membuat aku dalam posisi sulit di sini , cam .	sekarang aku tidak ingin melihat ada apapun terjadi pada teman kamu dan putra kecilnya ,
sekarang aku tidak ingin melihat ada apapun terjadi pada teman kamu dan putra kecilnya ,	jika kamu tidak melakukannya dengan benar , itu akan terjadi .
jika kamu tidak melakukannya dengan benar , itu akan terjadi .	itulah aturan aturannya .
itulah aturan aturannya .	ugh !
ugh !	dua minggu , cam .
dua minggu , cam .	ribu dolar .
ribu dolar .	unh .
unh .	iya ?
iya ?	kami akan pergi keluar malam ini .
kami akan pergi keluar malam ini .	kamu mau ikut ?
kamu mau ikut ?	pekerjaan ?
pekerjaan ?	lebih seperti permainan .
lebih seperti permainan .	bisakah aku mendapatkan segelas air ?
bisakah aku mendapatkan segelas air ?	hai , apa yang terjadi dengan wajah kamu ?
hai , apa yang terjadi dengan wajah kamu ?	ini ?
ini ?	iya
iya	aku menabrak dinding .
aku menabrak dinding .	oh , bagaimana dengan dinding itu ?
oh , bagaimana dengan dinding itu ?	lihatlah ini .
lihatlah ini .	luka ini aku dapatkan dari sebuah rel yang rusak .
luka ini aku dapatkan dari sebuah rel yang rusak .	itu bukan apa apa , kawan .
itu bukan apa apa , kawan .	lihatlah ini .
lihatlah ini .	kawat duri .
kawat duri .	dylan , kenapa kamu tidak menunjukan mereka apa yang telah terjadi di sini , hah
dylan , kenapa kamu tidak menunjukan mereka apa yang telah terjadi di sini , hah	apakah itu berasal dari sebuah trotoar ?
apakah itu berasal dari sebuah trotoar ?	bukan .
bukan .	itu berasal dari seorang wanita tua .
itu berasal dari seorang wanita tua .	dia sangat suka macan cougar .
dia sangat suka macan cougar .	iya .
iya .	dia seorang gadis yang baik .
dia seorang gadis yang baik .	dia orang china .
dia orang china .	dia benar benar pintar .
dia benar benar pintar .	aku bertemu dengannya di kereta bawah tanah .
aku bertemu dengannya di kereta bawah tanah .	aku melihatnya berjalan di sebuah jalanan suatu malam dengan pria ini .
aku melihatnya berjalan di sebuah jalanan suatu malam dengan pria ini .	aku beranggapan itu pasti sepupunya atau semacamnya .
aku beranggapan itu pasti sepupunya atau semacamnya .	lalu aku mendekatinya , aku memberikan pelukan hangat dan sebuah ciuman .
lalu aku mendekatinya , aku memberikan pelukan hangat dan sebuah ciuman .	dan dia sangat marah .
dan dia sangat marah .	bersikap sepertinya dia tidak pernah bertemu dengan aku sebelumnya .
bersikap sepertinya dia tidak pernah bertemu dengan aku sebelumnya .	itu benar benar kacau .
itu benar benar kacau .	karena pria yang di sebelahnya adalah suaminya .
karena pria yang di sebelahnya adalah suaminya .	iya , suaminya , seorang atlet bela diri campuran .
iya , suaminya , seorang atlet bela diri campuran .	berita buruk untuk penakluk wanita .
berita buruk untuk penakluk wanita .	apakah itu sebabnya kami tidak boleh mendekati chinatown ?
apakah itu sebabnya kami tidak boleh mendekati chinatown ?	tidak , itu semua adalah miller , teman .
tidak , itu semua adalah miller , teman .	dia memiliki hubungan yang buruk dengan gang disana .
dia memiliki hubungan yang buruk dengan gang disana .	dengan para tongs ?
dengan para tongs ?	iya .
iya .	iya , beberapa bisnis menjadi tidak terkendali .
iya , beberapa bisnis menjadi tidak terkendali .	dia harus memutuskan kesepakatan , berjanji untuk menjauh .
dia harus memutuskan kesepakatan , berjanji untuk menjauh .	kamu tahu , nikki memiliki beberapa tanda yang manis .
kamu tahu , nikki memiliki beberapa tanda yang manis .	hai , hai .
hai , hai .	aku tidak tahu apa yang dia bicarakan .
aku tidak tahu apa yang dia bicarakan .	itu tidak terjadi .
itu tidak terjadi .	jika aku menunjukkannya padamu , aku harus membunuhmu .
jika aku menunjukkannya padamu , aku harus membunuhmu .	dia mengatakannya .
dia mengatakannya .	itulah dia !
itulah dia !	nona jackson smith masa depan .
nona jackson smith masa depan .	tepat disana .
tepat disana .	oh , iya ?
oh , iya ?	itu akan menjadi istri masa depanku .
itu akan menjadi istri masa depanku .	iya , kami akan pindah ke daerah luar kota .
iya , kami akan pindah ke daerah luar kota .	membuat banyak bayi berambut merah setiap malam dalam seminggu .
membuat banyak bayi berambut merah setiap malam dalam seminggu .	oh , itu adalah pemandangan yang mengerikan !
oh , itu adalah pemandangan yang mengerikan !	dari seluruh sisa hidup kami .
dari seluruh sisa hidup kami .	ugh !
ugh !	aku tahu , kamu iri .
aku tahu , kamu iri .	kalian tidak mengetahui apapun mengenai wanita .
kalian tidak mengetahui apapun mengenai wanita .	hai .
hai .	hai , hai .
hai , hai .	apa yang terjadi ?
apa yang terjadi ?	tidak ada apaapa .
tidak ada apaapa .	hanya saja di dalam sana sangat pengap .
hanya saja di dalam sana sangat pengap .	itu saja .
itu saja .	apakah kamu ingin .. apakah kamu ingin pergi dari sini ?
apakah kamu ingin .. apakah kamu ingin pergi dari sini ?	kamu ingin pergi ke suatu tempat lain ?
kamu ingin pergi ke suatu tempat lain ?	tidak sekarang .
tidak sekarang .	tidak , aku tidak bisa .
tidak , aku tidak bisa .	hai , ada apa denganmu ?
hai , ada apa denganmu ?	nikki , apa yang kamu takutkan ?
nikki , apa yang kamu takutkan ?	hai , kalian .
hai , kalian .	maaf aku melewatkan senangsenangnya .
maaf aku melewatkan senangsenangnya .	aku memiliki beberapa bisnis untuk ditangani .
aku memiliki beberapa bisnis untuk ditangani .	iya .
iya .	hai , kamu tidak apaapa ?
hai , kamu tidak apaapa ?	iya , aku baikbaik saja .
iya , aku baikbaik saja .	hai , cam .
hai , cam .	jika kamu membutuhkan apapun , hubungi aku .
jika kamu membutuhkan apapun , hubungi aku .	ok ?
ok ?	iya .
iya .	kembali kedalam ?
kembali kedalam ?	tidak , aku lelah .
tidak , aku lelah .	aku .
aku .	akan pulang .
akan pulang .	hai .
hai .	apa yang kamu lakukan disini ?
apa yang kamu lakukan disini ?	ingin berbicara denganmu .
ingin berbicara denganmu .	bagaimana kamu dapat menemukanku ?
bagaimana kamu dapat menemukanku ?	mengapa kamu tinggal di atap ?
mengapa kamu tinggal di atap ?	mengapa kamu tidak memberi tahu aku bahwa kamu bersama dengan miller ?
mengapa kamu tidak memberi tahu aku bahwa kamu bersama dengan miller ?	dylan terlibat dalam suatu masalah ..
dylan terlibat dalam suatu masalah ..	dan miller membuat masalahnya hilang .
dan miller membuat masalahnya hilang .	jadi saudaramu memperkerjakanmu sebagai bosnya ..
jadi saudaramu memperkerjakanmu sebagai bosnya ..	terdengar begitu sederhana bagiku .
terdengar begitu sederhana bagiku .	miller tidak memilikiku .
miller tidak memilikiku .	benarkah itu ?
benarkah itu ?	mengapa kamu disini ?
mengapa kamu disini ?	apa intinya ?
apa intinya ?	aku seharusnya mengatakannya padamu .
aku seharusnya mengatakannya padamu .	ini adalah salahku , tapi ...
ini adalah salahku , tapi ...	cam , kamu bahkan tidak akan berada disini jika aku ...
cam , kamu bahkan tidak akan berada disini jika aku ...	jadi kamu ingin aku berhenti ?
jadi kamu ingin aku berhenti ?	kamu masih dapat pergi .
kamu masih dapat pergi .	apakah itu yang kamu inginkan ?
apakah itu yang kamu inginkan ?	aku tidak ingin kamu berhutang kepada miller seperti kami !
aku tidak ingin kamu berhutang kepada miller seperti kami !	apakah kamu ingin aku pergi ?
apakah kamu ingin aku pergi ?	tidak
tidak	sekali aku mendengar bahwa tato itu seperti bekas luka bahwa kamu mengenakannya diluar untuk menunjukkan
sekali aku mendengar bahwa tato itu seperti bekas luka bahwa kamu mengenakannya diluar untuk menunjukkan	apakah itu benar ?
apakah itu benar ?	aku tidak tahu .
aku tidak tahu .	mengapa kamu tidak memiliki tato ?
mengapa kamu tidak memiliki tato ?	karena aku tidak ingin siapapun untuk mengetahuinya .
karena aku tidak ingin siapapun untuk mengetahuinya .	aku berhutang uang kepada orangorang , nikki .
aku berhutang uang kepada orangorang , nikki .	dan segera setelah aku membayar mereka ..
dan segera setelah aku membayar mereka ..	aku pergi .
aku pergi .	dan saat ini sampai kepadamu oleh suara dari musim panas di kota new york .
dan saat ini sampai kepadamu oleh suara dari musim panas di kota new york .	iya , kami berada di penjara yang terlalu ramai .
iya , kami berada di penjara yang terlalu ramai .	ah , aku tidak begitu keberatan .
ah , aku tidak begitu keberatan .	tidak ?
tidak ?	tidak
tidak	maksudku , sebelum aku meninggalkan florida aku tidak pernah melihat kota yang memiliki orang lebih
maksudku , sebelum aku meninggalkan florida aku tidak pernah melihat kota yang memiliki orang lebih	iya , kamu beruntung , , , karena semua yang pernah kulihat hanyalah hutan ini
iya , kamu beruntung , , , karena semua yang pernah kulihat hanyalah hutan ini	kamu tidak pernah berada di luar kota ?
kamu tidak pernah berada di luar kota ?	tidak .
tidak .	maksudku , aku tidak menghitung waktuku dipenjara .
maksudku , aku tidak menghitung waktuku dipenjara .	aku mencoba untuk pergi
aku mencoba untuk pergi	kapan ?
kapan ?	setelah ibuku meninggal .
setelah ibuku meninggal .	ketika dia meninggal , aku mengetahui bahwa dia memiliki mobil tua ayahku .
ketika dia meninggal , aku mengetahui bahwa dia memiliki mobil tua ayahku .	dan dia tidak pernah mengatakannya kepadaku ketika dia masih hidup , karena dia takutjika aku
dan dia tidak pernah mengatakannya kepadaku ketika dia masih hidup , karena dia takutjika aku	jadi , ah ..
jadi , ah ..	dia merahasiakannya .
dia merahasiakannya .	dia menuliskan surat kepadaku ..
dia menuliskan surat kepadaku ..	dia berkata dia ingin aku memperbaikinya , buat mobilnya berjalan lagi .
dia berkata dia ingin aku memperbaikinya , buat mobilnya berjalan lagi .	masuklah saja dan berkemudi .
masuklah saja dan berkemudi .	di suatu tempat ..
di suatu tempat ..	aku tidak tahu dimana , di suatu tempat di kejauhan .
aku tidak tahu dimana , di suatu tempat di kejauhan .	mungkin california .
mungkin california .	itulah rencananya .
itulah rencananya .	iya , dimana mobilnya sekarang ?
iya , dimana mobilnya sekarang ?	itu ahh ...
itu ahh ...	pihak bank mengambilnya ..
pihak bank mengambilnya ..	pihak bank ?
pihak bank ?	uhuh .
uhuh .	oh .
oh .	kurasa aku hanyalah salah satu orang seperti itu yang tidak pernah dapat menyimpan sesuatu yang
kurasa aku hanyalah salah satu orang seperti itu yang tidak pernah dapat menyimpan sesuatu yang	aku akan setuju dengan itu .
aku akan setuju dengan itu .	haha .
haha .	kamu darimana , sayang ?
kamu darimana , sayang ?	aku pergi jalanjalan .
aku pergi jalanjalan .	ada sesuatu yang salah ?
ada sesuatu yang salah ?	hmm ?
hmm ?	tidak .
tidak .	tidak ada apaapa , kamu tahu , aku hanya ..
tidak ada apaapa , kamu tahu , aku hanya ..	gugup sebelum pekerjaan besar itu .
gugup sebelum pekerjaan besar itu .	itu saja .
itu saja .	yakin hanya itu saja ?
yakin hanya itu saja ?	kamu terlihat sedikit jauh .
kamu terlihat sedikit jauh .	iya ..
iya ..	seperti kamu berada di tempat lain .
seperti kamu berada di tempat lain .	tidak .
tidak .	tetap disini , james .
tetap disini , james .	au tidak tahu apa yang akan kulakukan tanpamu .
au tidak tahu apa yang akan kulakukan tanpamu .	you know that ?
you know that ?	i m just tired .
i m just tired .	i m gonna go to bed .
i m gonna go to bed .	sure .
sure .	dia semakin lebih baik .
dia semakin lebih baik .	nikki dan aku hidup di jalanan ketika kami menemukan parkour .
nikki dan aku hidup di jalanan ketika kami menemukan parkour .	kami ketagihan .
kami ketagihan .	itu seperti menjadi anakanak kembali .
itu seperti menjadi anakanak kembali .	seluruh kota menjadi tempat bermain kami .
seluruh kota menjadi tempat bermain kami .	apakah disitu kamu bertemu dengan miller ?
apakah disitu kamu bertemu dengan miller ?	uhhuh .
uhhuh .	iya .
iya .	miller membesarkan kami .
miller membesarkan kami .	mengajarkan seluruh hal yang kami ketahui , mengeluarkan kami dari jalanan .
mengajarkan seluruh hal yang kami ketahui , mengeluarkan kami dari jalanan .	kami tidak akan berada dimanamana tanpanya .
kami tidak akan berada dimanamana tanpanya .	iya , nikki berkata bahwa dia , ah .. mengeluarkanmu dari suatu masalah atau semacamnya
iya , nikki berkata bahwa dia , ah .. mengeluarkanmu dari suatu masalah atau semacamnya	nikki mengatakan itu ?
nikki mengatakan itu ?	iya .
iya .	tepatnya , apa yang dia katakan padamu ?
tepatnya , apa yang dia katakan padamu ?	maksudku , secara spesifik tidak ada .
maksudku , secara spesifik tidak ada .	hanya saja kamu mendapat suatu masalah .
hanya saja kamu mendapat suatu masalah .	dan dia membuat masalah itu hilang .
dan dia membuat masalah itu hilang .	tapi dia sungguh peduli padamu .
tapi dia sungguh peduli padamu .	dia tidak ingin melihatmu tersakiti .
dia tidak ingin melihatmu tersakiti .	apakah kamu berada dalam suatu masalah , cam ?
apakah kamu berada dalam suatu masalah , cam ?	karena jika kamu dalam suatu masalah , dan miller mengetahuinya , itu tidak hanya kamu
karena jika kamu dalam suatu masalah , dan miller mengetahuinya , itu tidak hanya kamu	itu akan menjadi masalah untuk kami semua .
itu akan menjadi masalah untuk kami semua .	dan dia selalu mengetahuinya .
dan dia selalu mengetahuinya .	no .
no .	tidak .
tidak .	baguslah
baguslah	aku mendapatkan yang terakhir .
aku mendapatkan yang terakhir .	unit kode ..
unit kode ..	aman , kerja yang bagus .
aman , kerja yang bagus .	whoo !
whoo !	itulah bagaimana cara kami melakukannya !
itulah bagaimana cara kami melakukannya !	itulah bagaimana cara kami melakukannya !
itulah bagaimana cara kami melakukannya !	aku akan menyusul kamu nanti ?
aku akan menyusul kamu nanti ?	tentu .
tentu .	kami bicara nanti .
kami bicara nanti .	apa maksudmu ?
apa maksudmu ?	dimana uang kami ?
dimana uang kami ?	hari pembayaran adalah minggu depan , cam , sama seperti biasanya .
hari pembayaran adalah minggu depan , cam , sama seperti biasanya .	ok , kapan hal berikutnya terjadi ?
ok , kapan hal berikutnya terjadi ?	segera .
segera .	hai , kamu melakukan pekerjaan yang baik .
hai , kamu melakukan pekerjaan yang baik .	istirahatlah
istirahatlah	kamu tidak mengerti .
kamu tidak mengerti .	aku butuh uang itu .
aku butuh uang itu .	apakah kami memiiliki suatu masalah ?
apakah kami memiiliki suatu masalah ?	tidak .
tidak .	tidak .
tidak .	tidak ada masalah ..
tidak ada masalah ..	aku memiliki pekerjaan besar yang akan datang untuk minggu depan .
aku memiliki pekerjaan besar yang akan datang untuk minggu depan .	itu bernilai paling kecil , , , dolar untuk seorang
itu bernilai paling kecil , , , dolar untuk seorang	apakah itu bisa diterima untuk kalian ?
apakah itu bisa diterima untuk kalian ?	manis .
manis .	terdengar bagus .
terdengar bagus .	iya .
iya .	bagaimana denganmu , cam ?
bagaimana denganmu , cam ?	bisa diterima ?
bisa diterima ?	iya , bisa diterima ..
iya , bisa diterima ..	bagus .
bagus .	kamu terlihat mirip dengan ayahmu .
kamu terlihat mirip dengan ayahmu .	iya , aku sering mendengar itu
iya , aku sering mendengar itu	itu adalah sesuatu yang bagus ..
itu adalah sesuatu yang bagus ..	pengingat konstan bahwa dia adalah ayah yang hebat .
pengingat konstan bahwa dia adalah ayah yang hebat .	iya , untuk menghibur ayahku tepatnya juga bukan merupakan seorang pemenang .
iya , untuk menghibur ayahku tepatnya juga bukan merupakan seorang pemenang .	terkadang lebih baik tidak mengetahui .
terkadang lebih baik tidak mengetahui .	iya .
iya .	kamu akan pergi begitu saja , benar tidak ?
kamu akan pergi begitu saja , benar tidak ?	kamu harus ikut denganku .
kamu harus ikut denganku .	.
.	iya , benar .
iya , benar .	mengapa iya , benar ?
mengapa iya , benar ?	aku tidak bisa .
aku tidak bisa .	mengapa tidak ?
mengapa tidak ?	itu rumit .
itu rumit .	iya ..
iya ..	aku tidak akan pergi kemanapun tanpa roda .
aku tidak akan pergi kemanapun tanpa roda .	simpanlah ini untukku .
simpanlah ini untukku .	terima kasih .
terima kasih .	tempat yang bagus .
tempat yang bagus .	aku dapat melihat ke masa depan dari atas sini .
aku dapat melihat ke masa depan dari atas sini .	iya , apa yang terjadi dengan tetap di masa kini ?
iya , apa yang terjadi dengan tetap di masa kini ?	kamu adalah murid yang baik , cam .
kamu adalah murid yang baik , cam .	sekarang , kamu bergerak melebihi batas dari yang telah diajarkan .
sekarang , kamu bergerak melebihi batas dari yang telah diajarkan .	tapi diluar , ada tatanan alami untuk halhal .
tapi diluar , ada tatanan alami untuk halhal .	kamu tahu , hanya ada satu alpha untuk setiap kumpulan .
